Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2010-07-29,13.25,14.0,12.1,12.54,10090415
1.0,2010-07-30,12.84,12.84,12.18,12.35,2405348
2.0,2010-08-02,12.71,13.21,12.6,13.0,2086890
3.0,2010-08-03,13.29,13.65,12.93,13.52,925489
4.0,2010-08-04,13.59,13.7,13.33,13.54,621864
5.0,2010-08-05,13.5,13.5,12.86,13.25,719814
6.0,2010-08-06,13.79,13.79,13.05,13.22,330651
7.0,2010-08-09,13.77,13.99,13.31,13.92,1123511
8.0,2010-08-10,13.91,13.91,13.47,13.79,441480
9.0,2010-08-11,13.54,13.67,13.07,13.25,337629
10.0,2010-08-12,13.13,14.05,13.13,13.99,814228
11.0,2010-08-13,14.0,14.38,13.72,14.0,1205269
12.0,2010-08-16,13.98,14.25,13.85,14.25,603168
13.0,2010-08-17,14.39,15.18,14.25,15.06,1566270
14.0,2010-08-18,15.27,15.274,14.53,14.65,604532
15.0,2010-08-19,14.44,15.07,14.44,15.03,1042288
16.0,2010-08-20,14.99,15.5,14.61,15.11,638755
17.0,2010-08-23,15.4,15.49,15.21,15.33,661063
18.0,2010-08-24,15.37,15.39,14.8,14.97,326010
19.0,2010-08-25,14.95,15.0,14.3,14.67,409906
20.0,2010-08-26,14.86,15.28,14.574,14.86,243492
21.0,2010-08-27,14.85,15.94,14.7,15.8,847785
22.0,2010-08-30,15.93,16.65,15.7,16.52,813000
23.0,2010-08-31,16.64,17.6,16.4,16.75,931212
24.0,2010-09-01,17.14,17.72,16.85,17.67,681609
25.0,2010-09-02,17.76,18.0,17.58,17.72,491776
26.0,2010-09-03,18.0,19.66,17.74,19.528,1228096
27.0,2010-09-07,19.81,22.49,19.66,21.93,4131396
28.0,2010-09-08,22.07,23.477,21.4205,21.88,3714316
29.0,2010-09-09,22.02,23.75,22.02,23.01,2175544
30.0,2010-09-10,23.42,23.62,22.25,23.23,2072824
31.0,2010-09-13,23.94,24.07,23.13,23.57,1163515
32.0,2010-09-14,23.09,23.39,22.61,22.87,896484
33.0,2010-09-15,22.76,22.88,20.58,20.92,2217212
34.0,2010-09-16,20.81,21.9,20.5,21.081,1222465
35.0,2010-09-17,21.56,22.63,21.39,22.215,998827
36.0,2010-09-20,22.62,23.43,22.41,22.89,864314
37.0,2010-09-21,22.75,25.18,22.48,24.45,1956036
38.0,2010-09-22,24.57,24.6,23.28,23.5,619363
39.0,2010-09-23,23.15,26.13,23.09,25.76,2667194
40.0,2010-09-24,28.38,28.49,26.3,27.756,3151874
41.0,2010-09-27,28.36,30.0,27.81,29.1,2786250
42.0,2010-09-28,29.79,29.96,25.77,26.0,3745696
43.0,2010-09-29,26.26,27.1,23.6,26.75,4954024
44.0,2010-09-30,27.55,29.13,27.0,28.31,7085644
45.0,2010-10-01,28.95,29.8,27.79,29.572,2308517
46.0,2010-10-04,29.6,30.5,28.05,29.277,2753395
47.0,2010-10-05,29.49,29.88,28.44,28.97,1807672
48.0,2010-10-06,28.85,28.85,26.8,27.85,2285371
49.0,2010-10-07,27.71,27.83,26.02,27.12,1584851
50.0,2010-10-08,27.23,27.65,26.69,26.75,1085714
51.0,2010-10-11,27.02,27.94,26.52,27.7,1100088
52.0,2010-10-12,27.58,28.25,26.88,27.47,817206
53.0,2010-10-13,27.71,28.4,27.59,27.77,868288
54.0,2010-10-14,28.08,29.1,27.67,28.55,1230993
55.0,2010-10-15,28.84,28.9,27.45,28.23,630857
56.0,2010-10-18,28.58,31.8899,28.5,30.92,3591619
57.0,2010-10-19,30.1,34.86,29.5,34.29,6144392
58.0,2010-10-20,33.75,35.35,32.42,32.68,5411465
59.0,2010-10-21,32.72,35.85,31.69,32.0,6972272
60.0,2010-10-22,31.64,32.15,29.71,31.7,3831001
61.0,2010-10-25,32.66,32.95,31.01,31.41,2099866
62.0,2010-10-26,31.48,35.32,30.8,35.2,3431217
63.0,2010-10-27,35.28,39.3,35.11,38.56,9323021
64.0,2010-10-28,39.48,40.9,32.2,33.89,15968509
65.0,2010-10-29,32.07,36.25,32.01,35.36,5129688
66.0,2010-11-01,35.27,35.8,32.53,33.05,3349894
67.0,2010-11-02,33.75,35.0,31.4,34.76,4455876
68.0,2010-11-03,34.55,35.55,33.3,34.08,2409871
69.0,2010-11-04,34.83,37.05,34.3,36.51,2915374
70.0,2010-11-05,37.51,37.79,35.2,35.46,2014712
71.0,2010-11-08,35.57,35.93,34.51,35.18,1354695
72.0,2010-11-09,35.5,37.48,34.99,35.25,2482744
73.0,2010-11-10,36.04,36.69,34.0,35.8,2272741
74.0,2010-11-11,35.81,37.45,34.57,36.18,1937762
